tweet,avgProfileScore,favourite_count,hashtags,isRetweet,maxScore,retweet_count,urls,SA,label
"RT @NASW_PA: New police social worker aims to help those in need, one interaction at a time - https://t.co/N2EMQbGNv7 https://t.co/J36W4gQ4…",6.032173534,24,0,0,10.59643471,7,1,1,4
A must-read column from NASW Kansas Chapter Executive Becky Fast on how state social work staff reductions and budget cuts have harmed children and why new vision and direction is needed: https://t.co/lULyh0sg6H https://t.co/X890fKZCO7,4.416777152,17,0,1,6.939253946,12,1,1,4
"Read the NASW Fall 2017 Practice Perspectives ""Preparing for Medicaid's Newest Quality Program for Reporting Measures: MACRA."" https://t.co/r1WmBx1416 https://t.co/WeP2wKZRTg",6.291914401,6,0,1,9.463198053,9,1,0,3.225511245
NASW member 2017  Ms. World Elite Carla Gonzalez is committed to ending domestic violence. Learn more about this amazing social worker: https://t.co/xVGKsGXp4G @CarlagonzalezOK https://t.co/d9oKhNEEba,5.650398017,9,0,1,5.902633333,2,1,1,5
"NASW specialty practice sections members take webinar  ""Nice Is Not Enough: Interrupting Systemic Bias in Your Practice"" Dec 5 at 1 pm ET and earn 1 Cross Cultural Contact CE. Find Registration info on webinar catalog at bottom of this website page: https://t.co/pOiMxuWOkL. https://t.co/MHAMEY4NtW",5.295468695,12,0,1,7.299797367,6,1,1,3.939526606
"RT @NASWNYC: On #WorldAIDSDay 2017 #NASW again says it is committed to preventing new infections, raising awareness:
https://t.co/M3MWFmVqb…",5.479594117,7,2,0,10.59643471,6,0,1,3.737602883
Good morning @socworkpodcast. Thanks for reminding folks about your informative article in this @nasw journal. https://t.co/sXK3zvAZ0x,7.556086146,4,0,1,9.463198053,3,1,1,4.27192842
The deadline for submitting a proposal to present at the 2018 NASW National Conference has been extended until December 8 at 11:59 p.m. For more information: https://t.co/X8Y52rtcWW https://t.co/ckUa0o76kj,6.368187186,0,0,1,6.368187186,1,1,1,3
RT @deonahooper: Reclaiming the Word Victim  https://t.co/Alx4beSHWq #socialwork #mentalhealth https://t.co/Tw7BOulqgL,5.160550693,4,2,0,10.59643471,5,2,-1,2.665698541
"RT @SSWAlliance: When social service workers join social policy &amp; protection efforts, we can achieve an #AIDSFreeGen. #WAD2017 https://t.co…",6.829421579,3,2,0,10.59643471,6,0,1,3
RT @NASWNYS: Last chance! Be sure to sign up for Trauma Informed Care: A Client Centered Approach (Dec 1) workshop before it registration c…,10.59645972,1,0,0,10.59645972,1,0,1,4
"RT @SSWAlliance: Through a well-planned, developed &amp; supported social service workforce, we can achieve an #AIDSFreeGen https://t.co/DT8zhm…",6.214512313,4,1,0,10.59643471,7,0,1,3
"RT @AASWSWorg: Restorative practices often better option than punitive when dealing w/ behavioral issues, Grand Challenge healthy developme…",8.192001187,5,0,0,10.59643471,4,0,1,2.96884359
RT @NASWNYS: SUFFOLK &amp; DIVISION MEMBERS: The NASW-NYS Suffolk and Nassau Divisions are co-hosting a very special networking event on Thursd…,6.865964465,2,0,0,10.59643471,2,0,1,3
Thanks for sharing these great #WAD2017 resources! https://t.co/vRkfFLGfrL,6.974122191,2,1,1,8.83025057,2,1,1,3
"RT @NASWNYS: Don't miss this continuing education opportunity, ""Elderlaw Bootcamp for Healthcare Professionals"" on December 6 in East Syrac…",10.59643471,1,0,0,10.59643471,1,0,0,3
RT @DrKristie: @spcummings @porndaughter Unfortunately I don’t think many social workers are familiar / comfortable with the code of ethics…,9.095124769,6,0,0,10.59643471,3,0,1,3.059155948
RT @signsforchange: #changementalhealth https://t.co/ub1bIrRQxK,5.536963339,45,1,0,10.59643471,12,0,0,2.683339805
RT @NASWMA: Engaged crowd for today's Creative Ways of Building Resiliency in Traumatized Youth continuing education program with our south…,8.129697597,3,0,0,10.59643471,2,0,1,2.922613231
This is a disastrous bill and thanks @NASWMA for tweeting this. Be sure to check out @nasw official statement as well: https://t.co/Ngmk229I0t https://t.co/DyI2ZUU9D4,6.231492207,2,0,1,7.725771442,4,2,1,4
Important information for social workers. https://t.co/XtvSSV38Je,5.724192404,4,0,1,7.767687277,7,1,1,3.959187968
RT @socworkpodcast: The latest The Social Work Podcast Daily! https://t.co/JlSo4UOdTw Thanks to @acondeluci @karenzgoda @jcgreenfield #ment…,8.685145575,4,0,0,10.59643471,4,1,1,3.508158029
"RT @SSWAlliance: We're thankful to @PEPFAR that 6.4M OVC &amp; their caregivers have received physical, emotional &amp; economic support to &lt; impac…",9.034467729,5,0,0,10.59643471,2,0,1,3.033090244
RT @NASW_PA: Facebook is rolling out AI-based suicide prevention effort. What are social workers' thoughts? https://t.co/ro3WY7oNvm https:/…,6.534399247,4,0,0,10.59643471,5,1,1,3.303083396
We are sure you saw NASW's statement https://t.co/Ngmk229I0t. Keep up the great tweeting @Mittjoy! https://t.co/ovp7leRNax,6.939253946,0,0,1,6.939253946,1,2,1,4.397850789
@Mittjoy @NAHIPSW @NASW_PA We are sure you saw NASW's official statement: https://t.co/Ngmk229I0t. Keep up the great tweets!,0,0,0,1,0,0,1,1,2.5
"RT @socworkpodcast: What do superheroes and social workers have in common? https://t.co/YMxgsG6BQU A lot, actually.",5.021546604,29,0,0,12.03750605,36,1,-1,2
"RT @NASWNYS: CENTRAL DIVISION NETWORKING NIGHT on Monday, December 11 at Rosie’s Sports Pub &amp; Grille. This event is open to all social work…",8.76784433,1,0,0,10.59643471,2,0,1,2.966427904
RT @NASWMI: Hello EMU social work students! Thanks for welcoming @NASWMI to talk about licensure and career development. #MIsocialwork http…,7.519542985,6,1,0,10.59643471,2,0,1,3.39159777
"Today is World AIDS Day. NASW continues its commitment to prevent new infections and raise awareness about HIV/AIDS. Read our press release, which includes resources for social workers and World AIDS Day activities: https://t.co/8AviLFPoQG #WAD2017 https://t.co/YNwPbQo5EI",6.183826247,5,1,1,7.767687277,9,1,1,5
When is the deadline for health insurance open enrollment in your state?  Find state specific resources here: https://t.co/ohkmJaBlBf https://t.co/z5HA9f0W35,5.922948275,2,0,1,7.344072851,9,1,0,3
"RT @vlarendt: Check this out, y’all. I am honored to have been a part of this amazing group. #swstandup @nasw @CSocialWorkEd https://t.co/5…",8.129697597,5,1,0,10.59643471,2,0,1,3.442613231
Have you tried NASW's Joblink to find jobs in that area? Please visit our Career Center https://t.co/avf13YS3kb.  Also if you have time and are near network at chapter events: https://t.co/j4WDT4hoMe. Good luck! https://t.co/SFTnRV3XZq,6.803190652,10,0,1,7.746732908,3,3,1,5.084992356
Tomorrow is the last day to submit a proposal to present at the 2018 NASW National Conference! https://t.co/X8Y52rtcWW https://t.co/1G4DskCKiY,5.419806428,4,0,1,6.939253946,7,1,0,2.845906037
"NASW opposes Tax Cuts and Jobs Act &amp; urges Senate reject bill. Tax cuts would benefit the rich and businesses and be paid for by cutting programs that assist nation's most vulnerable, including single mothers &amp; children. Read our full statement: https://t.co/48LexxK7S1 https://t.co/qGLTd7Uic9",5.110285925,49,0,1,9.463198053,59,1,1,7
"RT @NASWWI: To celebrate Social Work month, NASW partners with UW-Madison to host a networking, training program and reception at the UW In…",7.736345512,9,0,0,10.59643471,5,0,1,2.973278022
Tony Award winning actress and singer @heatherheadley plays social worker #DrJamison in Spike Lee @netflix series @shesgottahaveit. Learn more about the role: https://t.co/2Vrr3a6h9Q https://t.co/wrdgjpc6NK,5.185596931,12,1,1,6.939253946,6,1,1,4.392485088
Specialty Practice Section webinar Role Reversal: A social worker’s guide to redefining parental boundaries today! https://t.co/tN4SkRgo8N https://t.co/xQN3VrA7CH,5.902633333,1,0,1,5.902633333,1,1,1,4
RT @socworkpodcast: Not a #CyberMonday post: Get your voice heard by a national audience. Submit your abstract for the 2018 @NASW National…,7.494880191,11,1,0,10.59643471,10,0,0,2.51913149
Check out this important article on technology and foster care. @nasw member Ruby Guillen is interviewed. https://t.co/tpIyOoycw9,6.939253946,3,0,1,6.939253946,1,1,1,3.927850789
Prince Harry's fiancee actress Meghan Markle is the daughter of @nasw member Doria Ragland. Learn more about the engagement in this @nytimes article: https://t.co/hOr0cK2GW3 https://t.co/uQ32pe1R04,5.827863843,61,0,1,9.463198053,20,1,1,3.5
The NASW Connecticut Chapter is protesting state budget cuts that will drastically reduce health care benefits people who are older or disabled. Read this opinion piece from NASW Connecticut Chapter Board Member Michael Marshall to learn more: https://t.co/7hJcv7UhEc https://t.co/4byABPlfFs,6.364607058,2,0,1,6.939253946,2,1,1,4
"World AIDS Day is Friday December 1. NASW continues its commitment to prevent new infections and raise awareness about HIV/AIDS. Read our press release, which includes resources for social workers and World AIDS Day activities: https://t.co/8AviLFPoQG #WAD2017 https://t.co/PrpQ7rDObW",5.784647839,15,1,1,7.877397186,13,1,1,5
"Get ready for #SWMonth 2018! Read the theme rationale, download the logo and official proclamation and order Social Work Month merchandise in time for the holidays! https://t.co/FiW4ZAqMQF https://t.co/PEKdktNVAy",4.598444756,29,1,1,7.767687277,28,1,1,4.806613203
Know someone who needs help applying for health insurance?  Find help with the Get Covered Connector: https://t.co/YcemAIWSRw https://t.co/v8RU2YWZpv,5.686522071,4,0,1,7.277938573,5,1,0,2.886446064
"Do you have social work innovation, methods or research to share? Submit proposal to present at #nasw2018 by 11/30 https://t.co/X8Y52rtcWW https://t.co/gvK4QaXJ6g",6.191631048,12,1,1,9.463198053,12,1,1,4.80548291
"NASW wishes you, your family and friends an enjoyable and safe holiday! https://t.co/NVZP9psmZP",5.739823013,39,0,1,9.463198053,15,0,1,1
"RT @SSWAlliance: Influence policy at the local, national &amp; regional level in support of social service workforce strengthening efforts as a…",7.335976824,4,0,0,10.59643471,8,0,1,2.913241154
"RT @NASWNYS: Pass your exam! LMSW Test Prep Course on Friday, January 12 - Saturday, January 13. Our prep courses will be delivered as live…",10.59643471,5,0,0,10.59643471,2,0,1,1
"One year later, @realDonaldTrump policies are negatively affecting the social work profession. Learn more in NASW News: https://t.co/Kr8HOFUBzj https://t.co/BAO5L2uiRu",5.080595841,17,0,1,7.877397186,19,1,1,4.155799303
RT @acosaorg: RT @nasw: NASW Social Justice and Human Rights Manager Mel Wilson has joined the board of @NCCHC. Learn more about his new ro…,10.59643471,3,0,0,10.59643471,1,0,1,1
"Help us communicate with you in a way that works best for you. NASW members please review and update your email, snail mail address, and communication preferences at https://t.co/kBKmDYJEHK. https://t.co/esuBGFQdvs",0,4,0,1,0,0,1,1,1
November is #nationaladoptionmonth. Here are adoption resources for social workers! https://t.co/CKvEEjbH36 https://t.co/LqVCcizdCi,6.148160708,31,1,1,8.179480185,18,1,1,4.922764089
NASW Social Justice and Human Rights Manager Mel Wilson has joined the board of @NCCHC. Learn more about his new role: https://t.co/maR4mUFpDz https://t.co/qq3AHrrsTG,2.772588722,8,0,1,2.772588722,1,1,1,1
NASW supports health care for all. Have you looked into 2018 health insurance plans?  Search and apply at https://t.co/Zq3EWjZiZs https://t.co/bz43lrT8FS,5.368300341,35,0,1,8.83025057,19,1,0,1
NASW joins other Coalition to End Violence Against Women and Girls Globally members to welcome introduction of the International Violence Against Women Act #IVAWA. We urge Congress pass the legislation quickly. Read full statement: https://t.co/A152U8bSNd https://t.co/Hwi4se7cPS,5.059190327,33,1,1,7.767687277,21,1,1,4.82268776
Thanks for sharing our statement @SocialWorkersRJ! https://t.co/p7nxqWv7ly,5.350045915,6,0,1,6.677083461,4,1,1,1
Thanks for the shout-out to your social worker @TiffanyHaddish on @nbcsnl! We wish you nothing but continued success! https://t.co/Q3mBW8uo85,5.274109853,119,0,1,9.718181547,45,0,1,1
Please email NASW PR manager Greg Wright at gwright.nasw@socialworkers.org https://t.co/FwYgeU3oTP,7.491087594,8,0,1,7.491087594,1,1,0,1
"RT @MandelSchool: Join us this Thursday, 11/16 at @nasw for a meet-and-mingle with fellow alumni! Free drinks, apps, #ChangeAgent swag, and…",10.59643471,3,1,0,10.59643471,1,0,1,1
RT @NASWMA: Ready to fight for our #RighttoHealthMA! #singlepayer #MedicareForAll #mapoli https://t.co/XtHFJTJyS1,7.207777286,9,4,0,10.59643471,5,0,1,4
RT @LauraEllenMSW: AND she’s a social worker! @NASW_PA @nasw  So proud of my Emerge sister! https://t.co/NdJodpP3FI,8.249534023,9,0,0,10.59643471,2,1,1,2
"Do you have social work innovations, methods or research to share? Submit proposal to present at 2018 NASW National Conference #nasw2018 by 11/30 https://t.co/X8Y52rtcWW https://t.co/hkJ7hq66dx",6.760150419,9,1,1,7.529406458,5,1,1,4.568955688
Specialty Practice Section webinar Role Reversal: A social worker’s guide to redefining parental boundaries on 11/28 https://t.co/tN4SkRgo8N https://t.co/XXDsQkWk1B,7.119525656,5,0,1,7.299797367,2,1,1,4.011932302
Did You Receive a Negative Physician Quality Reporting System Payment Adjustment Letter for 2018? Last Day to File a Request for an Informal Review is Dec. 1. For more info: https://t.co/UCWUfks7pf https://t.co/RwauNgeWXB,6.02585515,5,0,1,7.733245647,3,1,1,3.95591008
RT @NASWNYS: WESTERN DIVISION: Hope to see you at @HydraulicHearth this Thursday (Nov 16) from 5:30PM - 8PM for a night of networking with…,10.59643471,4,0,0,10.59643471,1,0,0,2.169286943
"RT @NASWNYC: Hub for Helpers- new website for clinicians:
https://t.co/rqKs3PxRmZ

#socialworkinthecity",6.890861175,6,1,0,10.59643471,6,1,1,3.868729589
"RT @NASWNYS: CENTRAL DIVISION: Be sure to sign up for your Division's upcoming workshop, ""Elderlaw Bootcamp for Healthcare Professionals"" o…",10.59643471,3,0,0,10.59643471,1,0,1,3.159286943
NASW staffer Chris Herman appointed to @NCEAatUSC advisory board; NASW member Georgia Anetzberger appointed to 2nd term. NASW congratulates both! https://t.co/eoyCOeVjBD,0,4,0,1,0,0,0,0,1.04
Thank you @MBDallocchio! #SWStandUp Here is our statement on this issue: https://t.co/KM7cA93ZB8 https://t.co/ul173kBEGI,6.233396194,5,1,1,7.138073034,3,2,0,3.917146923
Thanks for your membership! https://t.co/t1GeuRPUaP,6.179765829,6,0,1,6.635946556,2,1,1,3.861571238
RT @UBSSW: . @nasw statement on Sutherland Springs MT @NASW_PA:   https://t.co/q4O4gh5hyA &lt;#MassShootings must be declared a #publichealth…,8.732724582,5,2,0,10.59643471,2,1,0,3.502915929
"RT @drewmcnaughton: I just renewed my membership with @nasw @NASWIL .

Social workers, I strongly encourage you to join if you are not alre…",10.59643471,7,0,0,10.59643471,1,0,1,3.199286943
RT @vlarendt: @newsocialworker @SHIPUSOCIALWORK @DorlisaMinnick @socworkpodcast @OfficialMacroSW @melaniesage @spcummings @CharlesELewisJr…,10.59643471,11,0,0,10.59643471,1,0,0,2.239286943
RT @SocialWorkersRJ: The #ACA open enrollment period is shortened. Please share this important enrollment information to #GetUsCovered at h…,6.211388073,7,2,0,10.59643471,7,0,1,3.820782279
"NASW MEMBERS: NASW Profile Audits are Underway. Update email, snail mail address &amp; communication preferences at https://t.co/kBKmDYJEHK https://t.co/fanw3vm20c",7.083896083,6,0,1,7.733245647,2,1,0,3.061714173
Health Insurance Coverage Matters! Learn how to evaluate available plans with @nwlc  resource https://t.co/KALfHeql2O https://t.co/RzBD6y2fLY,6.0076051,7,0,1,7.344072851,6,1,1,3.965167795
"NASW statement on #SutherlandSprings mass shooting again calls for sensible gun control laws, declaration of mass shootings as public health emergency https://t.co/i0ihFM8REa https://t.co/qFZmlEHmmK",6.008620418,24,1,1,7.988882253,23,1,0,3.869750267
RT @socworkpodcast: FREE Code of Ethics training on 2018 revisions. CEUs available for a reduced price through November 30th. #socialwork #…,7.168960869,11,1,0,10.59643471,4,0,1,3.426539558
"Now through Nov. 30, NASW is offering a special discounted rate on the Code of Ethics training CE option: $10 for NASW members, $25 for non-members. After Nov. 30, the rate will increase to $25 for NASW members,  $40 for non-members. https://t.co/kBZ56iyqLm https://t.co/WLRGt8uXar",5.336225289,11,0,1,8.539737156,15,1,1,4.147596245
You can view the recording of the Code of Ethics training free of charge: https://t.co/kBZ56iyqLm,4.579564958,14,0,1,6.758094504,8,1,1,3.853765946
NASW training on revisions on Code of Ethics are now available on demand: https://t.co/kBZ56iyqLm https://t.co/xAEgXYnDmJ,5.726164069,10,0,1,9.168476168,8,1,1,4.169464024
RT @HudSocialWork: This discussion sounds great! https://t.co/bjjqz4KED6,8.932380692,7,0,0,10.59643471,3,1,1,3.552881541
RT @SSWAlliance: Prblms faced by unaccompd children too often addressed from #migration perspective not #childprotection - @ESNsocial https…,6.95222805,5,2,0,10.59643471,6,0,0,2.864866276
"RT @NASWNYC: @NASW encourages #socialworkers to educate their colleagues and clients about resources to prevent and address #pain
https://t…",8.16002241,7,2,0,10.59645972,4,0,0,2.985648213
RT @NASWMS: Jackson Program Unit Event is underway!! #socialwork #naswms https://t.co/RarM1J5QhD,6.617746021,5,2,0,10.59643471,3,0,0,2.801418073
"RT @NASWNYS: Sign up for the next workshop in Social Workers &amp; Adoption series: ""Group Work with Adoption Triad Members"" (11/13) https://t.…",10.59643471,3,0,0,10.59643471,1,0,1,3.159286943
RT @NASWMS: Just Released! This is the theme for Social Work Month 2018!! #socialworkmonth2018 #socialwork… https://t.co/pc5YQMXw88,6.673080698,6,2,0,10.59643471,5,1,1,4.336951541
RT @NASWMS: https://t.co/nq1guIaAlb,10.59643471,4,0,0,10.59643471,1,0,0,2.169286943
NASW  supports the Grand Challenges for Social Work. Take this important webinar on 11/20 #Up4theChallenge @AASWSWorg https://t.co/A6Yhb8dPca,5.955854299,18,1,1,9.463198053,15,0,1,4.371905235
Members join Hour with Private Practice 11/15 at 1 pm ET on how NASW advocated for private practitioners in 2016-17. https://t.co/luf30eHrh4 https://t.co/o2I0LEEgNX,6.93399106,5,0,1,7.877397186,4,1,0,3.071138825
NASW joins leading experts in calling for Congress to pass paid family &amp; medical leave: https://t.co/BE0hkHPZAw #FAMILYAct. @NPWF #NFCMonth https://t.co/41164uI5N3,4.94439828,13,2,1,5.902633333,5,1,0,3.764703161
Did you vote today? https://t.co/eEK6GVJR3q,5.235086051,25,0,1,7.299797367,10,0,0,2.603488342
"RT @NASW_PA: Managing Holiday Stress  |  1CE FREE Webinar  |  Wed., November 29th, 12pm–1pm. Presented by Troy Brindle – https://t.co/HOYBN…",7.564517103,8,0,0,10.59643471,2,0,1,2.916095182
Do you know any social workers in Georgia who are Dreamers? NASW is looking for Dreamers who want to participate in news article.,6.383125964,5,0,1,10.68171091,6,0,1,3.816483687
"RT @NASWNYC: Call for Workshop Proposals for @nasw conference
https://t.co/ioRIm8NttX

#socialworkinthecity",7.583604661,7,1,0,10.59643471,3,1,0,2.918003937
"RT @NASWNYC: #SocialWork Needs More #Leaders Now by @nasw Angelo McClain 
https://t.co/dXCsBwFj6N

#socialworkinthecity",8.810688796,5,3,0,10.59643471,3,1,1,5.020712351
RT @NASWMI: @nasw members Alan Johns and Haanah Mesa received the 2017 Student Leadership in Diversity Award #LEAD2017 @WSU_Social_Work @UM…,7.487633404,6,1,0,10.59643471,3,0,1,3.398406812
"RT @NicoleClarkLMSW: Let's shape tomorrow, together. Submit a proposal for the 2018 @nasw conference by Nov. 30th: https://t.co/Fy7PbZdPJv…",10.59643471,5,0,0,10.59643471,2,1,0,2.689286943
RT @NASWMI: @NASWMI #LEAD2017 Conference story from WILX. Survivor of human trafficking shares her story https://t.co/93hseXMNnf @nasw,10.59643471,3,1,0,10.59643471,1,1,0,3.159286943
"RT @MandelSchool: “There is pressing need for #socialworkers trained in #aging. @nasw estimates 70,000 needed by 2020” - Dr. Aloen Townsend…",5.119725725,8,2,0,10.59643471,5,0,0,2.701616044
"RT @NASWMA: In wake of another mass shooting, thoughts r w/ TX &amp; reminder tht @nasw urges Congress 2 act https://t.co/OiVJmkOFmy https://t.…",5.651134527,16,0,0,10.59643471,9,1,0,2.374756924
RT @newsocialworker: Here's what you need to know about the @nasw Code of Ethics changes https://t.co/c5WyBKDDPt @drbarsky pls read &amp; retwe…,6.590584638,13,0,0,10.59643471,9,1,0,2.438701935
RT @SocialWorkersRJ: The #ACA open enrollment period is shortened. Please share this important enrollment information https://t.co/kpGDifmK…,7.141734016,5,1,0,10.59643471,7,0,1,3.393816873
RT @NASWNYS: Tomorrow is #ElectionDay! Make sure your voice is heard. Find your polling station at https://t.co/TI76KcVdCh https://t.co/KEU…,7.994478897,7,1,0,10.59643471,4,1,1,3.969091361
